id,category,class,board,stateBoard,medium,subject,country,exam,level,program,title,description,questionCount,difficulty,popular,driveUrl
class8-cbse-english-math-001,school,Class 8,CBSE,,English,Mathematics,,,,,Mathematics Question Bank,Chapter-wise practice questions covering the full CBSE Class 8 Maths syllabus.,500,Mixed,true,https://drive.google.com/drive/folders/REPLACE_class8_cbse_en_math_001
class8-cbse-english-science-001,school,Class 8,CBSE,,English,Science,,,,,Science Practice Set,Physics Chemistry & Biology questions aligned to the CBSE Class 8 Science curriculum.,420,Mixed,true,https://drive.google.com/drive/folders/REPLACE_class8_cbse_en_sci_001
class8-cbse-hindi-math-001,school,Class 8,CBSE,,Hindi,Mathematics,,,,,गणित प्रश्न बैंक,सीबीएसई कक्षा 8 गणित पाठ्यक्रम पर आधारित अध्याय-वार अभ्यास प्रश्न।,480,Mixed,false,https://drive.google.com/drive/folders/REPLACE_class8_cbse_hi_math_001
class8-icse-english-socialscience-001,school,Class 8,ICSE,,English,Social Science,,,,,Social Science Question Set,History Civics & Geography practice questions for ICSE Class 8.,300,Moderate,false,https://drive.google.com/drive/folders/REPLACE_class8_icse_en_ss_001
class10-cbse-english-math-001,school,Class 10,CBSE,,English,Mathematics,,,,,Board Exam Maths Question Bank,500+ CBSE board-style questions with previous-year pattern coverage for Class 10 Maths.,550,Board Level,true,https://drive.google.com/drive/folders/REPLACE_class10_cbse_en_math_001
class10-cbse-english-science-001,school,Class 10,CBSE,,English,Science,,,,,Science Board Practice Set,Physics Chemistry & Biology board-pattern practice questions for Class 10 CBSE.,500,Board Level,true,https://drive.google.com/drive/folders/REPLACE_class10_cbse_en_sci_001
class10-cbse-english-english-001,school,Class 10,CBSE,,English,English,,,,,English Language & Literature Set,Grammar comprehension and literature practice questions for Class 10 CBSE English.,260,Board Level,false,https://drive.google.com/drive/folders/REPLACE_class10_cbse_en_eng_001
class10-icse-english-math-001,school,Class 10,ICSE,,English,Mathematics,,,,,ICSE Mathematics Question Bank,Board-pattern Mathematics practice questions for ICSE Class 10.,480,Board Level,false,https://drive.google.com/drive/folders/REPLACE_class10_icse_en_math_001
class10-state-up-hindi-math-001,school,Class 10,State Board,UP Board,Hindi,Mathematics,,,,,गणित प्रश्न बैंक (यूपी बोर्ड),यूपी बोर्ड कक्षा 10 गणित पाठ्यक्रम पर आधारित अभ्यास प्रश्न।,400,Board Level,false,https://drive.google.com/drive/folders/REPLACE_class10_up_hi_math_001
class6-cbse-english-math-001,school,Class 6,CBSE,,English,Mathematics,,,,,Class 6 Maths Foundation Set,Foundational practice questions for CBSE Class 6 Mathematics.,250,Easy,false,https://drive.google.com/drive/folders/REPLACE_class6_cbse_en_math_001
class12-cbse-english-physics-001,school,Class 12,CBSE,,English,Physics,,,,,Physics Board Question Bank,Board-pattern Physics practice questions covering the full Class 12 CBSE syllabus.,600,Board Level,true,https://drive.google.com/drive/folders/REPLACE_class12_cbse_en_phy_001
class12-cbse-english-chemistry-001,school,Class 12,CBSE,,English,Chemistry,,,,,Chemistry Board Question Bank,Organic inorganic & physical chemistry practice questions for Class 12 CBSE.,580,Board Level,false,https://drive.google.com/drive/folders/REPLACE_class12_cbse_en_chem_001
comp-in-jee-english-physics-001,competitive,,,,English,Physics,IN,JEE,,,JEE Physics Question Bank,Concept-wise JEE Main & Advanced level Physics practice questions.,700,Advanced,true,https://drive.google.com/drive/folders/REPLACE_comp_in_jee_phy_001
comp-in-neet-english-biology-001,competitive,,,,English,Biology,IN,NEET,,,NEET Biology Question Bank,NCERT-aligned Biology practice questions for NEET aspirants.,650,Advanced,true,https://drive.google.com/drive/folders/REPLACE_comp_in_neet_bio_001
comp-in-upsc-english-generalstudies-001,competitive,,,,English,General Studies,IN,UPSC,,,UPSC Prelims General Studies Set,Topic-wise General Studies practice questions for UPSC Civil Services Prelims.,800,Advanced,true,https://drive.google.com/drive/folders/REPLACE_comp_in_upsc_gs_001
